capability,entity,action,event,permission_doc,screen_docs,test_doc,audit_class,confidence
assets,asset,register_asset,asset.registered,14-PERMISSIONS/assets/asset.md,11-UX/screens/assets/asset/,20-TESTING/assets/asset/register_asset.md,always,KNOWN
assets,meter_reading,record_reading,asset.reading_recorded;asset.reading_implausible,14-PERMISSIONS/assets/meter_reading.md,11-UX/screens/assets/meter_reading/,20-TESTING/assets/meter_reading/record_reading.md,always,KNOWN
assets,asset,transfer_custody,asset.custody_transferred,14-PERMISSIONS/assets/asset.md,11-UX/screens/assets/asset/,20-TESTING/assets/asset/transfer_custody.md,always,KNOWN
attendance_verification,attendance_record,record_attendance,attendance.claimed;attendance.evidence_recorded,14-PERMISSIONS/attendance_verification/attendance_record.md,11-UX/screens/attendance_verification/attendance_record/,20-TESTING/attendance_verification/attendance_record/record_attendance.md,always,KNOWN
attendance_verification,attendance_record,settle_attendance,attendance.settled,14-PERMISSIONS/attendance_verification/attendance_record.md,11-UX/screens/attendance_verification/attendance_record/,20-TESTING/attendance_verification/attendance_record/settle_attendance.md,always,KNOWN
attendance_verification,attendance_dispute,resolve_attendance_dispute,attendance.dispute_resolved,14-PERMISSIONS/attendance_verification/attendance_dispute.md,11-UX/screens/attendance_verification/attendance_dispute/,20-TESTING/attendance_verification/attendance_dispute/resolve_attendance_dispute.md,always,KNOWN
backfill_dispatch,backfill_request,raise_backfill_request,backfill.requested,14-PERMISSIONS/backfill_dispatch/backfill_request.md,11-UX/screens/backfill_dispatch/backfill_request/,20-TESTING/backfill_dispatch/backfill_request/raise_backfill_request.md,always,KNOWN
backfill_dispatch,backfill_offer,rank_candidates,backfill.candidates_ranked,14-PERMISSIONS/backfill_dispatch/backfill_offer.md,11-UX/screens/backfill_dispatch/backfill_offer/,20-TESTING/backfill_dispatch/backfill_offer/rank_candidates.md,read_sensitive_only,KNOWN
backfill_dispatch,backfill_offer,accept_backfill,backfill.accepted;backfill.filled,14-PERMISSIONS/backfill_dispatch/backfill_offer.md,11-UX/screens/backfill_dispatch/backfill_offer/,20-TESTING/backfill_dispatch/backfill_offer/accept_backfill.md,always,KNOWN
billing,billable_outcome,rate_outcome,billing.outcome_rated;billing.outcome_unratable,14-PERMISSIONS/billing/billable_outcome.md,11-UX/screens/billing/billable_outcome/,20-TESTING/billing/billable_outcome/rate_outcome.md,always,KNOWN
billing,invoice,issue_invoice,billing.invoice_issued,14-PERMISSIONS/billing/invoice.md,11-UX/screens/billing/invoice/,20-TESTING/billing/invoice/issue_invoice.md,always,KNOWN
billing,payment_receipt,allocate_payment,billing.payment_allocated,14-PERMISSIONS/billing/payment_receipt.md,11-UX/screens/billing/payment_receipt/,20-TESTING/billing/payment_receipt/allocate_payment.md,always,KNOWN
billing,invoice,issue_credit_note,billing.credit_note_issued,14-PERMISSIONS/billing/invoice.md,11-UX/screens/billing/invoice/,20-TESTING/billing/invoice/issue_credit_note.md,always,KNOWN
booking,booking,hold_slot,booking.held,14-PERMISSIONS/booking/booking.md,11-UX/screens/booking/booking/,20-TESTING/booking/booking/hold_slot.md,always,KNOWN
booking,booking,confirm_booking,booking.confirmed,14-PERMISSIONS/booking/booking.md,11-UX/screens/booking/booking/,20-TESTING/booking/booking/confirm_booking.md,always,KNOWN
booking,booking,cancel_booking,booking.cancelled;booking.slot_released,14-PERMISSIONS/booking/booking.md,11-UX/screens/booking/booking/,20-TESTING/booking/booking/cancel_booking.md,always,KNOWN
catalog,price_rule,resolve_price,,14-PERMISSIONS/catalog/price_rule.md,11-UX/screens/catalog/price_rule/,20-TESTING/catalog/price_rule/resolve_price.md,read_sensitive_only,KNOWN
catalog,catalog_item,publish_item,catalog_item.published,14-PERMISSIONS/catalog/catalog_item.md,11-UX/screens/catalog/catalog_item/,20-TESTING/catalog/catalog_item/publish_item.md,always,KNOWN
catalog,composition,publish_composition,composition.published;catalog_item.cost_changed,14-PERMISSIONS/catalog/composition.md,11-UX/screens/catalog/composition/,20-TESTING/catalog/composition/publish_composition.md,always,KNOWN
core_audit,audit_record,write_audit_record,,14-PERMISSIONS/core_audit/audit_record.md,11-UX/screens/core_audit/audit_record/,20-TESTING/core_audit/audit_record/write_audit_record.md,always,KNOWN
core_audit,audit_record,query_audit,,14-PERMISSIONS/core_audit/audit_record.md,11-UX/screens/core_audit/audit_record/,20-TESTING/core_audit/audit_record/query_audit.md,security,KNOWN
core_audit,audit_record,export_audit,audit.exported,14-PERMISSIONS/core_audit/audit_record.md,11-UX/screens/core_audit/audit_record/,20-TESTING/core_audit/audit_record/export_audit.md,security,KNOWN
core_audit,legal_hold,apply_legal_hold,legal_hold.applied,14-PERMISSIONS/core_audit/legal_hold.md,11-UX/screens/core_audit/legal_hold/,20-TESTING/core_audit/legal_hold/apply_legal_hold.md,security,KNOWN
core_audit,audit_digest,verify_digest,audit.verification_completed;audit.verification_failed,14-PERMISSIONS/core_audit/audit_digest.md,11-UX/screens/core_audit/audit_digest/,20-TESTING/core_audit/audit_digest/verify_digest.md,security,KNOWN
core_authorization,role_binding,evaluate_permission,,14-PERMISSIONS/core_authorization/role_binding.md,11-UX/screens/core_authorization/role_binding/,20-TESTING/core_authorization/role_binding/evaluate_permission.md,read_sensitive_only,KNOWN
core_authorization,role,create_role,role.created,14-PERMISSIONS/core_authorization/role.md,11-UX/screens/core_authorization/role/,20-TESTING/core_authorization/role/create_role.md,security,KNOWN
core_authorization,permission_grant,add_grant,permission.granted,14-PERMISSIONS/core_authorization/permission_grant.md,11-UX/screens/core_authorization/permission_grant/,20-TESTING/core_authorization/permission_grant/add_grant.md,security,KNOWN
core_authorization,role_binding,grant_role,binding.granted,14-PERMISSIONS/core_authorization/role_binding.md,11-UX/screens/core_authorization/role_binding/,20-TESTING/core_authorization/role_binding/grant_role.md,security,KNOWN
core_authorization,role_binding,revoke_binding,binding.revoked,14-PERMISSIONS/core_authorization/role_binding.md,11-UX/screens/core_authorization/role_binding/,20-TESTING/core_authorization/role_binding/revoke_binding.md,security,KNOWN
core_authorization,delegation,create_delegation,delegation.created,14-PERMISSIONS/core_authorization/delegation.md,11-UX/screens/core_authorization/delegation/,20-TESTING/core_authorization/delegation/create_delegation.md,security,KNOWN
core_authorization,role_binding,start_impersonation,impersonation.started,14-PERMISSIONS/core_authorization/role_binding.md,11-UX/screens/core_authorization/role_binding/,20-TESTING/core_authorization/role_binding/start_impersonation.md,security,KNOWN
core_configuration,config_value,resolve_config,,14-PERMISSIONS/core_configuration/config_value.md,11-UX/screens/core_configuration/config_value/,20-TESTING/core_configuration/config_value/resolve_config.md,read_sensitive_only,KNOWN
core_configuration,config_value,set_config_value,config.changed,14-PERMISSIONS/core_configuration/config_value.md,11-UX/screens/core_configuration/config_value/,20-TESTING/core_configuration/config_value/set_config_value.md,always,KNOWN
core_configuration,config_change_set,stage_change_set,change_set.staged,14-PERMISSIONS/core_configuration/config_change_set.md,11-UX/screens/core_configuration/config_change_set/,20-TESTING/core_configuration/config_change_set/stage_change_set.md,always,KNOWN
core_configuration,config_change_set,apply_change_set,change_set.applied;config.changed per member,14-PERMISSIONS/core_configuration/config_change_set.md,11-UX/screens/core_configuration/config_change_set/,20-TESTING/core_configuration/config_change_set/apply_change_set.md,always,KNOWN
core_identity_session,session,authenticate_password,session.created;principal.authenticated,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/authenticate_password.md,security,KNOWN
core_identity_session,session,authenticate_phone_otp,session.created;principal.authenticated,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/authenticate_phone_otp.md,security,KNOWN
core_identity_session,session,verify_mfa,session.created;mfa.verified,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/verify_mfa.md,security,KNOWN
core_identity_session,session,refresh_session,,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/refresh_session.md,read_sensitive_only,KNOWN
core_identity_session,session,elevate_session,session.elevated,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/elevate_session.md,security,KNOWN
core_identity_session,session,logout,session.revoked,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/logout.md,security,KNOWN
core_identity_session,session,logout_all,session.revoked (one per session);principal.all_sessions_revoked,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/logout_all.md,security,KNOWN
core_identity_session,session,switch_tenant,session.revoked;session.created,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/switch_tenant.md,security,KNOWN
core_identity_session,tenant_membership,revoke_membership,membership.revoked;session.revoked,14-PERMISSIONS/core_identity_session/tenant_membership.md,11-UX/screens/core_identity_session/tenant_membership/,20-TESTING/core_identity_session/tenant_membership/revoke_membership.md,security,KNOWN
core_identity_session,tenant_membership,invite_principal,membership.invited,14-PERMISSIONS/core_identity_session/tenant_membership.md,11-UX/screens/core_identity_session/tenant_membership/,20-TESTING/core_identity_session/tenant_membership/invite_principal.md,security,KNOWN
core_identity_session,principal,accept_invitation,principal.activated;membership.accepted;session.created,14-PERMISSIONS/core_identity_session/principal.md,11-UX/screens/core_identity_session/principal/,20-TESTING/core_identity_session/principal/accept_invitation.md,security,KNOWN
core_identity_session,principal,suspend_principal,principal.suspended;session.revoked,14-PERMISSIONS/core_identity_session/principal.md,11-UX/screens/core_identity_session/principal/,20-TESTING/core_identity_session/principal/suspend_principal.md,security,KNOWN
core_identity_session,principal,reinstate_principal,principal.reinstated,14-PERMISSIONS/core_identity_session/principal.md,11-UX/screens/core_identity_session/principal/,20-TESTING/core_identity_session/principal/reinstate_principal.md,security,KNOWN
core_identity_session,principal,deactivate_principal,principal.deactivated;membership.revoked;session.revoked,14-PERMISSIONS/core_identity_session/principal.md,11-UX/screens/core_identity_session/principal/,20-TESTING/core_identity_session/principal/deactivate_principal.md,security,KNOWN
core_identity_session,principal,unlock_principal_manual,principal.unlocked,14-PERMISSIONS/core_identity_session/principal.md,11-UX/screens/core_identity_session/principal/,20-TESTING/core_identity_session/principal/unlock_principal_manual.md,security,KNOWN
core_identity_session,device,trust_device,device.trusted,14-PERMISSIONS/core_identity_session/device.md,11-UX/screens/core_identity_session/device/,20-TESTING/core_identity_session/device/trust_device.md,security,KNOWN
core_identity_session,device,untrust_device,device.untrusted,14-PERMISSIONS/core_identity_session/device.md,11-UX/screens/core_identity_session/device/,20-TESTING/core_identity_session/device/untrust_device.md,security,KNOWN
core_identity_session,device,block_device,device.blocked;session.revoked,14-PERMISSIONS/core_identity_session/device.md,11-UX/screens/core_identity_session/device/,20-TESTING/core_identity_session/device/block_device.md,security,KNOWN
core_identity_session,device,unblock_device,device.unblocked,14-PERMISSIONS/core_identity_session/device.md,11-UX/screens/core_identity_session/device/,20-TESTING/core_identity_session/device/unblock_device.md,security,KNOWN
core_identity_session,device,archive_device,device.archived;session.revoked,14-PERMISSIONS/core_identity_session/device.md,11-UX/screens/core_identity_session/device/,20-TESTING/core_identity_session/device/archive_device.md,security,KNOWN
core_identity_session,session,reap_session,session.revoked,14-PERMISSIONS/core_identity_session/session.md,11-UX/screens/core_identity_session/session/,20-TESTING/core_identity_session/session/reap_session.md,security,KNOWN
evidence_capture,evidence_item,capture_evidence,evidence.captured,14-PERMISSIONS/evidence_capture/evidence_item.md,11-UX/screens/evidence_capture/evidence_item/,20-TESTING/evidence_capture/evidence_item/capture_evidence.md,always,KNOWN
evidence_capture,evidence_item,upload_evidence,evidence.uploaded,14-PERMISSIONS/evidence_capture/evidence_item.md,11-UX/screens/evidence_capture/evidence_item/,20-TESTING/evidence_capture/evidence_item/upload_evidence.md,always,KNOWN
evidence_capture,evidence_item,redact_evidence,evidence.redacted,14-PERMISSIONS/evidence_capture/evidence_item.md,11-UX/screens/evidence_capture/evidence_item/,20-TESTING/evidence_capture/evidence_item/redact_evidence.md,security,KNOWN
helpdesk,ticket,raise_ticket,ticket.raised,14-PERMISSIONS/helpdesk/ticket.md,11-UX/screens/helpdesk/ticket/,20-TESTING/helpdesk/ticket/raise_ticket.md,always,KNOWN
helpdesk,ticket_message,post_message,ticket.message_posted;ticket.first_response_recorded,14-PERMISSIONS/helpdesk/ticket_message.md,11-UX/screens/helpdesk/ticket_message/,20-TESTING/helpdesk/ticket_message/post_message.md,always,KNOWN
helpdesk,ticket,convert_to_work,ticket.converted_to_work,14-PERMISSIONS/helpdesk/ticket.md,11-UX/screens/helpdesk/ticket/,20-TESTING/helpdesk/ticket/convert_to_work.md,always,KNOWN
hq_console,tenant,provision_tenant,platform.tenant_provisioned,14-PERMISSIONS/hq_console/tenant.md,11-UX/screens/hq_console/tenant/,20-TESTING/hq_console/tenant/provision_tenant.md,security,KNOWN
hq_console,tenant_manifest,deploy_manifest,platform.manifest_deployed,14-PERMISSIONS/hq_console/tenant_manifest.md,11-UX/screens/hq_console/tenant_manifest/,20-TESTING/hq_console/tenant_manifest/deploy_manifest.md,security,KNOWN
hq_console,tenant,start_support_session,platform.support_session_started,14-PERMISSIONS/hq_console/tenant.md,11-UX/screens/hq_console/tenant/,20-TESTING/hq_console/tenant/start_support_session.md,security,KNOWN
integrations,outbound_message,deliver_message,integration.delivered;integration.dead_lettered,14-PERMISSIONS/integrations/outbound_message.md,11-UX/screens/integrations/outbound_message/,20-TESTING/integrations/outbound_message/deliver_message.md,always,KNOWN
integrations,inbound_request,process_inbound,integration.inbound_accepted;integration.inbound_rejected,14-PERMISSIONS/integrations/inbound_request.md,11-UX/screens/integrations/inbound_request/,20-TESTING/integrations/inbound_request/process_inbound.md,always,KNOWN
integrations,connection,rotate_credential,integration.credential_rotated,14-PERMISSIONS/integrations/connection.md,11-UX/screens/integrations/connection/,20-TESTING/integrations/connection/rotate_credential.md,security,KNOWN
inventory,stock_movement,record_movement,stock.moved;stock.balance_changed;stock.went_negative,14-PERMISSIONS/inventory/stock_movement.md,11-UX/screens/inventory/stock_movement/,20-TESTING/inventory/stock_movement/record_movement.md,always,KNOWN
inventory,stock_count,apply_count,stock.count_applied;stock.variance_recorded,14-PERMISSIONS/inventory/stock_count.md,11-UX/screens/inventory/stock_count/,20-TESTING/inventory/stock_count/apply_count.md,always,KNOWN
